,gender,found_job,age,class
0,male,0,56,B
1,male,0,29,C
2,male,0,64,C
3,female,0,63,B
4,male,0,64,A
5,male,0,64,C
6,male,0,70,B
7,female,0,60,A
8,male,0,31,C
9,male,0,53,A
10,female,0,46,B
11,male,0,60,B
12,male,0,62,B
13,male,0,55,C
14,male,0,57,C
15,female,0,27,C
16,female,0,51,C
17,male,0,63,C
18,female,0,50,C
19,male,0,59,C
20,male,1,32,A
21,female,0,46,A
22,female,0,67,C
23,male,0,31,A
24,male,0,47,A
25,male,0,56,B
26,male,0,46,C
27,male,0,50,A
28,female,0,53,C
29,male,1,43,A
30,male,0,51,A
31,male,0,47,A
32,male,1,29,B
33,male,1,46,A
34,male,1,31,A
35,female,0,44,B
36,female,0,52,C
37,male,0,60,A
38,female,0,78,C
39,male,0,55,A
40,female,0,63,A
41,male,0,47,C
42,male,0,47,C
43,male,0,49,A
44,male,0,58,C
45,male,0,49,A
46,female,0,60,B
47,male,0,38,A
48,male,0,54,B
49,female,1,52,B
50,female,0,74,C
51,female,0,47,C
52,male,0,61,C
53,male,0,64,B
54,male,0,37,C
55,male,0,35,B
56,male,0,69,C
57,male,0,39,B
58,male,0,53,B
59,male,0,68,B
60,male,0,32,C
61,male,0,56,A
62,male,0,58,B
63,male,0,50,C
64,female,0,56,C
65,female,1,36,B
66,male,0,74,C
67,male,0,41,A
68,male,0,60,B
69,male,0,43,C
70,male,0,36,A
71,male,0,78,B
72,male,1,57,B
73,female,0,64,A
74,female,0,33,C
75,male,0,40,B
76,female,0,55,A
77,male,0,48,C
78,male,0,66,A
79,male,0,53,C
80,male,0,47,C
81,male,0,54,C
82,male,0,57,C
83,female,1,31,B
84,male,0,42,C
85,male,1,63,A
86,female,0,52,C
87,female,0,59,C
88,male,0,48,B
89,male,0,45,C
90,male,0,41,C
91,male,0,44,C
92,male,0,58,A
93,male,0,37,B
94,male,1,41,B
95,male,1,44,A
96,male,0,44,B
97,male,0,52,C
98,male,0,53,B
99,male,0,74,C
100,female,1,53,B
101,female,0,49,B
102,male,0,64,C
103,male,0,50,A
104,male,0,47,B
105,female,0,73,C
106,male,0,54,C
107,female,0,55,C
108,female,0,44,B
109,male,0,68,A
110,male,0,64,C
111,male,0,44,C
112,female,0,49,C
113,female,0,52,A
114,male,0,55,B
115,male,0,52,B
116,male,0,52,C
117,male,0,47,C
118,male,0,63,C
119,male,1,51,A
120,male,0,52,C
121,female,0,65,C
122,male,0,54,C
123,male,1,41,A
124,male,0,64,C
125,male,0,71,B
126,male,1,40,B
127,male,0,49,A
128,male,1,50,C
129,male,0,58,C
130,male,0,61,C
131,male,0,49,C
132,female,0,43,C
133,male,0,45,C
134,male,0,59,C
135,male,0,50,A
136,male,0,69,C
137,female,0,52,C
138,female,0,51,A
139,female,0,67,C
140,male,1,28,B
141,male,0,43,C
142,male,0,47,C
143,male,0,57,B
144,female,0,39,A
145,male,0,65,B
146,female,0,64,C
147,male,0,48,C
148,male,0,55,C
149,male,1,34,B
150,male,0,46,C
151,male,0,44,B
152,male,0,52,C
153,female,0,40,B
154,male,0,51,C
155,male,0,53,A
156,male,0,52,C
157,male,0,71,C
158,male,1,44,C
159,male,0,57,B
160,male,0,42,B
161,male,0,45,C
162,male,0,44,B
163,female,0,55,C
164,female,0,49,C
165,female,0,70,B
166,male,1,40,B
167,male,0,66,B
168,male,0,47,B
169,female,0,65,C
170,male,0,73,B
171,male,0,39,B
172,male,0,53,C
173,male,0,61,C
174,female,0,48,C
175,female,0,52,C
176,male,0,74,B
177,male,0,56,C
178,male,0,68,B
179,female,0,48,C
180,female,0,54,C
181,female,0,64,C
182,male,0,51,C
183,male,0,54,C
184,male,0,48,C
185,female,0,60,B
186,male,0,57,C
187,male,0,42,B
188,female,0,58,A
189,male,0,64,C
190,male,0,54,B
191,female,0,72,C
192,female,1,37,A
193,female,1,51,B
194,male,0,57,C
195,male,0,62,C
196,female,0,46,B
197,female,0,63,C
198,male,0,52,A
199,male,0,55,A
200,male,0,31,C
201,male,0,52,C
202,male,0,70,A
203,female,0,54,A
204,female,0,45,C
205,male,0,45,C
206,male,0,50,B
207,female,0,64,C
208,male,0,45,A
209,male,0,59,C
210,female,1,52,A
211,female,0,45,B
212,male,0,44,B
213,male,0,63,C
214,male,0,64,C
215,male,0,41,C
216,female,0,58,B
217,male,0,26,A
218,male,0,42,A
219,male,0,58,A
220,male,1,59,B
221,male,0,51,C
222,male,0,58,C
223,male,0,40,B
224,female,0,44,A
225,female,0,53,C
226,male,0,56,C
227,male,0,75,C
228,male,1,36,B
229,female,0,49,C
230,male,0,51,C
231,male,0,49,C
232,female,0,51,B
233,male,0,48,A
234,female,0,49,B
235,male,1,60,B
236,male,0,50,B
237,male,0,54,B
238,male,0,38,C
239,male,0,42,C
240,male,0,49,B
241,male,1,59,B
242,male,0,38,A
243,female,0,73,C
244,male,0,45,B
245,male,0,63,A
246,female,0,61,A
247,female,0,45,C
248,male,0,44,C
249,female,0,55,C
250,male,0,45,C
251,male,0,54,B
252,female,0,59,B
253,female,0,47,B
254,female,0,52,C
255,male,1,55,B
256,female,0,52,B
257,male,0,66,C
258,female,0,58,C
259,male,0,53,A
260,male,0,61,B
261,female,0,26,B
262,male,0,64,C
263,female,0,57,B
264,female,0,51,C
265,male,0,58,A
266,male,1,40,A
267,male,0,73,C
268,male,0,35,C
269,female,0,60,B
270,female,1,38,B
271,female,0,66,B
272,male,0,65,B
273,female,0,66,C
274,female,0,46,C
275,male,0,60,C
276,male,0,58,C
277,male,0,60,B
278,male,0,33,C
279,male,0,61,B
280,female,0,52,B
281,male,0,49,B
282,female,0,72,C
283,male,0,38,B
284,male,1,43,A
285,female,0,41,C
286,male,0,45,C
287,male,0,57,A
288,female,0,50,C
289,male,0,50,C
290,male,0,51,C
291,male,0,58,C
292,male,0,67,C
293,male,0,54,C
294,female,0,59,C
295,female,0,60,C
296,male,0,44,C
297,male,0,46,C
298,male,0,58,A
299,male,0,53,C
300,male,0,52,C
301,female,0,72,A
302,male,0,54,A
303,female,1,56,B
304,male,0,36,B
305,male,0,67,C
306,male,0,51,B
307,male,0,64,C
308,female,0,61,A
309,male,0,87,B
310,male,0,60,A
311,male,0,45,C
312,male,0,34,C
313,female,0,49,C
314,male,0,59,C
315,male,0,82,C
316,female,0,61,C
317,male,0,64,A
318,male,0,66,C
319,male,0,52,C
320,male,1,45,B
321,male,0,49,A
322,male,1,41,B
323,male,0,44,C
324,male,0,73,C
325,male,0,60,C
326,male,0,44,B
327,female,0,63,C
328,male,0,49,C
329,male,0,48,A
330,male,0,60,A
331,female,0,67,B
332,female,0,56,B
333,male,0,57,C
334,male,0,66,C
335,female,0,48,C
336,male,0,68,A
337,female,0,52,C
338,female,0,54,C
339,male,0,60,B
340,male,0,35,B
341,male,0,61,C
342,male,0,36,C
343,male,0,45,C
344,male,0,54,B
345,male,0,62,C
346,female,0,49,C
347,female,0,35,C
348,male,0,54,C
349,female,0,26,B
350,male,0,60,B
351,male,0,53,C
352,male,0,72,A
353,male,0,49,B
354,male,0,69,B
355,male,0,56,A
356,female,0,65,C
357,male,0,54,B
358,female,0,71,C
359,male,0,64,B
360,male,0,44,A
361,female,0,69,B
362,female,0,71,A
363,female,0,57,B
364,female,0,63,C
365,male,0,57,C
366,male,0,49,B
367,male,0,56,A
368,female,0,65,A
369,male,0,48,C
370,female,0,46,C
371,male,0,51,C
372,male,0,37,B
373,male,1,49,B
374,male,0,45,B
375,male,0,40,C
376,male,1,46,A
377,male,0,40,C
378,male,0,45,C
379,male,0,60,C
380,female,0,61,B
381,male,0,50,C
382,male,0,53,C
383,male,0,59,C
384,male,0,67,C
385,male,0,64,C
386,male,0,44,C
387,male,0,62,C
388,male,0,73,C
389,male,0,68,C
390,male,0,40,C
391,male,0,58,A
392,male,0,60,A
393,male,0,58,C
394,male,0,50,A
395,male,0,54,A
396,male,0,46,B
397,male,0,52,B
398,male,0,69,C
399,male,0,38,C
400,male,1,48,B
401,female,0,48,B
402,male,0,22,B
403,male,0,46,C
404,male,0,52,A
405,female,0,41,B
406,male,0,66,B
407,male,0,62,B
408,male,0,54,C
409,female,0,49,B
410,female,0,53,B
